,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
10209,University of South Carolina-Columbia,Public,International Business.,Master's Degree,125621,124900,130438
10210,University of South Carolina-Columbia,Public,Management Sciences and Quantitative Methods.,Bachelor's Degree,91024,95631,89702
10211,University of South Carolina-Columbia,Public,Marketing.,Bachelor's Degree,77355,74457,78992
10212,University of South Carolina-Columbia,Public,"General Sales, Merchandising and Related Marketing Operations.",Bachelor's Degree,55908,68459,53087
10213,University of South Carolina-Columbia,Public,History.,Bachelor's Degree,51175,51593,39004
10214,University of South Carolina-Salkehatchie,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,42449,51073,32604
10215,Coastal Carolina University,Public,Communication and Media Studies.,Bachelor's Degree,49719,55304,48691
10216,Coastal Carolina University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,43704,45559,42574
10217,Coastal Carolina University,Public,"Biology, General.",Bachelor's Degree,49256,47410,50507
10218,Coastal Carolina University,Public,"Ecology, Evolution, Systematics, and Population Biology.",Bachelor's Degree,41398,45246,38597
10219,Coastal Carolina University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,46652,48175,45966
10220,Coastal Carolina University,Public,"Psychology, General.",Bachelor's Degree,45124,50008,44122
10221,Coastal Carolina University,Public,Political Science and Government.,Bachelor's Degree,54322,52788,54532
10222,Coastal Carolina University,Public,Sociology.,Bachelor's Degree,44757,58945,40864
10223,Coastal Carolina University,Public,Design and Applied Arts.,Bachelor's Degree,37002,40103,36480
10224,Coastal Carolina University,Public,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,30787,35587,23572
10225,Coastal Carolina University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,59876,64253,49571
10226,Coastal Carolina University,Public,"Business Administration, Management and Operations.",Master's Degree,77337,79583,64473
10227,Coastal Carolina University,Public,Accounting and Related Services.,Bachelor's Degree,66105,72078,57063
10228,Coastal Carolina University,Public,Marketing.,Bachelor's Degree,63667,71240,58227
10229,South Carolina State University,Public,"Family and Consumer Sciences/Human Sciences, General.",Bachelor's Degree,35649,36361,35579
10230,South Carolina State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,45814,47779,43335
10231,University of South Carolina-Upstate,Public,Communication and Media Studies.,Bachelor's Degree,42746,50878,38481
10232,University of South Carolina-Upstate,Public,"Computer and Information Sciences, General.",Bachelor's Degree,59007,73002,54655
10233,University of South Carolina-Upstate,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,41627,44832,40665
10234,University of South Carolina-Upstate,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,43441,54494,38397
10235,University of South Carolina-Upstate,Public,Criminal Justice and Corrections.,Bachelor's Degree,50300,57277,42537
10236,University of South Carolina-Upstate,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,79162,90390,77428
10237,University of South Carolina-Upstate,Public,"Business Administration, Management and Operations.",Bachelor's Degree,57576,61152,52687
10238,Sherman College of Chiropractic,"Private, nonprofit",Chiropractic.,First Professional Degree,46307,48008,44073
10239,Spartanburg Methodist College,"Private, nonprofit","Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,32131,32473,31320
10240,Spartanburg Community College,Public,"Multi/Interdisciplinary Studies, Other.",Associate's Degree,48371,57496,35689
10241,Tri-County Technical College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40422,44632,38226
10242,Tri-County Technical College,Public,"Multi/Interdisciplinary Studies, Other.",Associate's Degree,64143,70537,24249
10243,Tri-County Technical College,Public,Criminal Justice and Corrections.,Associate's Degree,45011,46924,39361
10244,Winthrop University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,48959,50622,47853
10245,Winthrop University,Public,"Psychology, General.",Bachelor's Degree,40878,42896,40448
10246,Winthrop University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,58620,63421,53724
10247,Winthrop University,Public,"Business Administration, Management and Operations.",Master's Degree,85649,88069,81616
10248,Wofford College,"Private, nonprofit","Biology, General.",Bachelor's Degree,59846,62748,60084
10249,York Technical College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,41516,48729,38838
10250,Augustana University,"Private, nonprofit","Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,46871,51990,46394
10251,Augustana University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,68610,75313,56538
10252,Black Hills State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,54682,59740,51731
10253,Lake Area Technical College,Public,Agricultural Business and Management.,Associate's Degree,47845,54481,34775
10254,Mount Marty University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,210720,224855,201327
10255,National American University-Rapid City,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,36797,41106,36341
10256,National American University-Rapid City,"Private, for-profit",Criminal Justice and Corrections.,Bachelor's Degree,50176,62323,46936
10257,National American University-Rapid City,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,36120,36296,36082
10258,National American University-Rapid City,"Private, for-profit","Business Administration, Management and Operations.",Associate's Degree,46731,54669,41588
10259,National American University-Rapid City,"Private, for-profit","Business Administration, Management and Operations.",Bachelor's Degree,57947,64453,54437
10260,National American University-Rapid City,"Private, for-profit","Business Administration, Management and Operations.",Master's Degree,67077,74160,60978
10261,National American University-Rapid City,"Private, for-profit",Accounting and Related Services.,Bachelor's Degree,56049,53726,57094
10262,Northern State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,53939,59154,51877
10263,South Dakota State University,Public,Agricultural Business and Management.,Bachelor's Degree,62893,65175,52539
10264,South Dakota State University,Public,Animal Sciences.,Bachelor's Degree,56528,65733,56043
10265,South Dakota State University,Public,Plant Sciences.,Bachelor's Degree,67485,69247,56898
10266,South Dakota State University,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,51722,56404,48190
10267,South Dakota State University,Public,"Biology, General.",Bachelor's Degree,58408,63377,54122
10268,South Dakota State University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,53427,55695,51164
10269,South Dakota State University,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,138305,138064,138362
10270,South Dakota State University,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,72893,82295,71460
10271,Southeast Technical College,Public,"Business/Commerce, General.",Associate's Degree,44994,52291,43521
10272,University of South Dakota,Public,Communication and Media Studies.,Bachelor's Degree,52291,52392,52526
10273,University of South Dakota,Public,Educational Administration and Supervision.,Master's Degree,77319,80225,74394
10274,University of South Dakota,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,48120,53360,45062
10275,University of South Dakota,Public,Law.,First Professional Degree,76365,75947,78288
10276,University of South Dakota,Public,"Biology, General.",Bachelor's Degree,64695,64628,64750
10277,University of South Dakota,Public,"Parks, Recreation and Leisure Studies.",Bachelor's Degree,50213,50258,48622
10278,University of South Dakota,Public,"Psychology, General.",Bachelor's Degree,51388,57934,50754
10279,University of South Dakota,Public,Criminal Justice and Corrections.,Bachelor's Degree,56807,57524,53592
10280,University of South Dakota,Public,"Human Services, General.",Master's Degree,74375,87745,73119
10281,University of South Dakota,Public,Political Science and Government.,Bachelor's Degree,50941,47606,55398
10282,University of South Dakota,Public,"Health Services/Allied Health/Health Sciences, General.",Bachelor's Degree,56837,70925,56772
10283,University of South Dakota,Public,Medicine.,First Professional Degree,221069,216205,254294
10284,University of South Dakota,Public,Rehabilitation and Therapeutic Professions.,First Professional Degree,78933,79239,74708
10285,University of South Dakota,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,73993,87661,73038
10286,University of South Dakota,Public,"Business Administration, Management and Operations.",Bachelor's Degree,62800,64508,57273
10287,University of South Dakota,Public,"Business Administration, Management and Operations.",Master's Degree,108829,108382,102487
10288,University of South Dakota,Public,Accounting and Related Services.,Bachelor's Degree,59423,58536,58155
10289,Austin Peay State University,Public,"Agriculture, General.",Bachelor's Degree,44104,56709,36400
10290,Austin Peay State University,Public,Communication and Media Studies.,Bachelor's Degree,44606,42585,45853
10291,Austin Peay State University,Public,"Computer and Information Sciences, General.",Bachelor's Degree,73281,74495,72319
10292,Austin Peay State University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,43477,41927,44328
10293,Austin Peay State University,Public,"Biology, General.",Bachelor's Degree,41531,45992,40022
10294,Austin Peay State University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,43028,46963,41520
10295,Austin Peay State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,53438,60988,44077
10296,Austin Peay State University,Public,"Business/Commerce, General.",Bachelor's Degree,51396,56759,47884
10297,Belmont University,"Private, nonprofit",Law.,Doctoral Degree,88212,94076,88424
10298,Belmont University,"Private, nonprofit",Music.,Bachelor's Degree,30355,33261,27740
10299,Belmont University,"Private, nonprofit","Arts, Entertainment,and Media Management.",Bachelor's Degree,50279,45948,50885
10300,Belmont University,"Private, nonprofit","Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,139004,142707,138041
10301,Belmont University,"Private, nonprofit","Business/Commerce, General.",Master's Degree,120032,124127,115277
10302,Belmont University,"Private, nonprofit",Accounting and Related Services.,Master's Degree,103207,111321,89116
10303,Bethel University,"Private, nonprofit","Education, General.",Master's Degree,52261,59655,51290
10304,Bethel University,"Private, nonprofit",Criminal Justice and Corrections.,Bachelor's Degree,58019,64174,42452
10305,Bethel University,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,132802,142685,121785
10306,Bethel University,"Private, nonprofit","Business/Commerce, General.",Master's Degree,71267,80871,68161
10307,Bethel University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,49572,69666,46759
10308,Chattanooga State Community College,Public,"Engineering Technology, General.",Associate's Degree,70616,70656,71793
10309,Chattanooga State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38262,44363,33955
10310,Chattanooga State Community College,Public,Design and Applied Arts.,Associate's Degree,31084,35570,18212
10311,Chattanooga State Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,40983,46063,38901
10312,Chattanooga State Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,60049,66964,57493
10313,Chattanooga State Community College,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,70876,70076,71025
10314,Christian Brothers University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,119561,130683,106808
10315,Cleveland State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40626,45243,32982
10316,Cleveland State Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,39536,46502,33937
10317,Cleveland State Community College,Public,"Business Administration, Management and Operations.",Associate's Degree,44034,58925,41346
10318,Columbia State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40318,44640,38941
10319,Columbia State Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,54625,55232,48608
10320,Columbia State Community College,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,66602,67324,65957
10321,Concorde Career College-Memphis,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,27199,28884,27145
10322,Concorde Career College-Memphis,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,52677,60244,48823
10323,Cumberland University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,80903,91872,79197
10324,Lipscomb University,"Private, nonprofit",Curriculum and Instruction.,Master's Degree,60811,66983,56975
10325,Lipscomb University,"Private, nonprofit","Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,142488,148843,138649
10326,Lipscomb University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,90346,85979,92416
10327,Hussian College-Daymar College Nashville,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,29852,50844,28876
10328,Dyersburg State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,36222,44503,33452
10329,East Tennessee State University,Public,Communication and Media Studies.,Bachelor's Degree,41501,38878,42786
10330,East Tennessee State University,Public,Graphic Communications.,Bachelor's Degree,37167,35097,41198
10331,East Tennessee State University,Public,"English Language and Literature, General.",Bachelor's Degree,33670,36779,30796
10332,East Tennessee State University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,41482,48689,40175
10333,East Tennessee State University,Public,"Biology, General.",Bachelor's Degree,50185,51514,44656
10334,East Tennessee State University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,46637,47158,45032
10335,East Tennessee State University,Public,"Psychology, General.",Bachelor's Degree,37942,41536,37498
10336,East Tennessee State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,43784,52756,35726
10337,East Tennessee State University,Public,Medicine.,First Professional Degree,196850,208013,174935
10338,East Tennessee State University,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,137685,142055,131839
10339,East Tennessee State University,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,74304,80739,70436
10340,East Tennessee State University,Public,"Health Professions and Related Clinical Sciences, Other.",Bachelor's Degree,53532,73121,52278
10341,East Tennessee State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,51918,61429,45824
10342,East Tennessee State University,Public,Accounting and Related Services.,Bachelor's Degree,58006,59329,54141
10343,East Tennessee State University,Public,Marketing.,Bachelor's Degree,45416,45409,44834
10344,Tennessee College of Applied Technology-Elizabethton,Public,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,43089,45093,43077
10345,Tennessee College of Applied Technology-Elizabethton,Public,Business Operations Support and Assistant Services.,Undergraduate Certificate or Diploma,26103,34447,24991
10346,Jackson State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,35757,46927,30856
10347,Johnson University,"Private, nonprofit",Bible/Biblical Studies.,Bachelor's Degree,42017,45412,36446
10348,King University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,80332,79178,80466
10349,King University,"Private, nonprofit","Business/Commerce, General.",Bachelor's Degree,49940,58530,45192
10350,King University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,46943,58613,46123
10351,King University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,69615,81534,60640
10352,South College,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,129128,150520,121489
10353,South College,"Private, for-profit","Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,138701,145164,137416
10354,Lee University,"Private, nonprofit","Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,45840,48786,43803
10355,Lee University,"Private, nonprofit","Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,42674,56119,27931
10356,Lee University,"Private, nonprofit",Pastoral Counseling and Specialized Ministries.,Bachelor's Degree,43323,48285,34984
10357,Lee University,"Private, nonprofit","Psychology, General.",Bachelor's Degree,39475,48784,39202
10358,Lee University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,61940,71549,50151
10359,Lincoln Memorial University,"Private, nonprofit",Curriculum and Instruction.,Master's Degree,52544,63149,51805
10360,Lincoln Memorial University,"Private, nonprofit",Educational Administration and Supervision.,First Professional Degree,66434,73717,64302
10361,Lincoln Memorial University,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,125618,132998,125011
10362,Lincoln Memorial University,"Private, nonprofit",Medicine.,First Professional Degree,244812,264630,235421
10363,Lincoln Memorial University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,64106,75395,62919
10364,Lincoln Memorial University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,119668,162955,114065
10365,Genesis Career College-Cookeville,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,22777,29941,21814
10366,Meharry Medical College,"Private, nonprofit",Dentistry.,Doctoral Degree,159859,201962,143676
10367,Meharry Medical College,"Private, nonprofit",Medicine.,Doctoral Degree,170199,143701,175925
10368,Tennessee College of Applied Technology-Memphis,Public,Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,16294,16887,14963
10369,University of Memphis,Public,Communication and Media Studies.,Bachelor's Degree,41952,39146,41279
10370,University of Memphis,Public,Journalism.,Bachelor's Degree,48019,50003,47095
10371,University of Memphis,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,42469,46768,42341
10372,University of Memphis,Public,"Linguistic, Comparative, and Related Language Studies and Services.",Bachelor's Degree,45728,48787,44623
10373,University of Memphis,Public,Law.,First Professional Degree,83228,83727,81737
10374,University of Memphis,Public,"English Language and Literature, General.",Bachelor's Degree,41064,39890,42660
10375,University of Memphis,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,47098,50211,44277
10376,University of Memphis,Public,"Biology, General.",Bachelor's Degree,50833,72800,48942
10377,University of Memphis,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,45387,55915,43497
10378,University of Memphis,Public,Health and Physical Education/Fitness.,Bachelor's Degree,50267,51866,49381
10379,University of Memphis,Public,"Psychology, General.",Bachelor's Degree,43526,38048,44293
10380,University of Memphis,Public,Criminal Justice and Corrections.,Bachelor's Degree,49589,70215,43209
10381,University of Memphis,Public,Political Science and Government.,Bachelor's Degree,52699,55037,47657
10382,University of Memphis,Public,Fine and Studio Arts.,Bachelor's Degree,41028,43930,39794
10383,University of Memphis,Public,Music.,Bachelor's Degree,46852,47191,47852
10384,University of Memphis,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,75543,93817,72766
10385,University of Memphis,Public,"Business Administration, Management and Operations.",Bachelor's Degree,58570,67206,55041
10386,University of Memphis,Public,"Business Administration, Management and Operations.",Master's Degree,111623,118569,105427
10387,University of Memphis,Public,Accounting and Related Services.,Bachelor's Degree,65542,67685,63435
10388,University of Memphis,Public,Accounting and Related Services.,Master's Degree,94598,94311,95480
10389,University of Memphis,Public,Finance and Financial Management Services.,Bachelor's Degree,63377,71390,48006
10390,University of Memphis,Public,Hospitality Administration/Management.,Bachelor's Degree,44977,51522,43583
10391,University of Memphis,Public,Marketing.,Bachelor's Degree,51803,71907,45603
10392,University of Memphis,Public,History.,Bachelor's Degree,46475,48414,43260
10393,Middle Tennessee State University,Public,Communication and Media Studies.,Bachelor's Degree,43823,44554,42779
10394,Middle Tennessee State University,Public,Curriculum and Instruction.,Master's Degree,51115,50796,51099
10395,Middle Tennessee State University,Public,"English Language and Literature, General.",Bachelor's Degree,46371,44268,46944
10396,Middle Tennessee State University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,51748,58583,48169
10397,Middle Tennessee State University,Public,"Biology, General.",Bachelor's Degree,52665,55701,52114
10398,Middle Tennessee State University,Public,"Biological and Biomedical Sciences, Other.",Master's Degree,88088,85436,93042
10399,Middle Tennessee State University,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,43290,48890,42805
10400,Middle Tennessee State University,Public,"Parks, Recreation and Leisure Facilities Management.",Bachelor's Degree,43024,49281,42632
10401,Middle Tennessee State University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,48887,46302,50557
10402,Middle Tennessee State University,Public,"Psychology, General.",Bachelor's Degree,41564,45092,40852
10403,Middle Tennessee State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,52140,63613,43360
10404,Middle Tennessee State University,Public,Political Science and Government.,Bachelor's Degree,49519,60925,47958
10405,Middle Tennessee State University,Public,Fine and Studio Arts.,Bachelor's Degree,43459,45082,36335
10406,Middle Tennessee State University,Public,"Arts, Entertainment,and Media Management.",Bachelor's Degree,40061,39386,40236
10407,Middle Tennessee State University,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,78482,94368,72008
10408,Middle Tennessee State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,58160,60752,54836
10409,Middle Tennessee State University,Public,"Business Administration, Management and Operations.",Master's Degree,93225,95464,88951
10410,Middle Tennessee State University,Public,Accounting and Related Services.,Bachelor's Degree,72466,72559,71013
10411,Middle Tennessee State University,Public,Accounting and Related Services.,Master's Degree,91910,97566,85373
10412,Middle Tennessee State University,Public,Finance and Financial Management Services.,Bachelor's Degree,63083,64891,60955
10413,Middle Tennessee State University,Public,Marketing.,Bachelor's Degree,62637,70379,57672
10414,Middle Tennessee State University,Public,History.,Bachelor's Degree,43177,47583,36063
10415,Middle Tennessee School of Anesthesia Inc,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,209597,233483,182114
10416,Tennessee College of Applied Technology-Morristown,Public,"Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,41283,40502,41783
10417,Motlow State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,41823,46696,37569
10418,Lincoln College of Technology-Nashville,"Private, for-profit",Vehicle Maintenance and Repair Technologies.,Undergraduate Certificate or Diploma,47664,48172,35396
10419,Lincoln College of Technology-Nashville,"Private, for-profit",Vehicle Maintenance and Repair Technologies.,Associate's Degree,52774,53451,38345
10420,Lincoln College of Technology-Nashville,"Private, for-profit",Precision Metal Working.,Undergraduate Certificate or Diploma,48015,48271,41619
10421,Nashville State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,44360,48313,41909
10422,Nashville State Community College,Public,"Business Administration, Management and Operations.",Associate's Degree,44371,43735,44174
10423,Rhodes College,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,83816,79515,92134
10424,Roane State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38359,43424,35478
10425,Roane State Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,53907,58422,43171
10426,Southwest Tennessee Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38553,46878,37396
10427,Tennessee College of Applied Technology-Shelbyville,Public,Business Operations Support and Assistant Services.,Undergraduate Certificate or Diploma,34984,42383,23769
10428,Tennessee College of Applied Technology-Jackson,Public,Business Operations Support and Assistant Services.,Undergraduate Certificate or Diploma,24733,34881,20210
10429,Pellissippi State Community College,Public,Communications Technology/Technician.,Associate's Degree,35781,40461,24731
10430,Pellissippi State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40135,47973,36618
10431,Pellissippi State Community College,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,64997,73036,63105
10432,Pellissippi State Community College,Public,"Business Administration, Management and Operations.",Associate's Degree,39896,44124,37483
10433,Southern Adventist University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,72066,75970,69979
10434,Southern Adventist University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,82724,87835,81468
10435,Southern College of Optometry,"Private, nonprofit",Optometry.,Doctoral Degree,126422,139725,115471
10436,Tennessee Wesleyan University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,48721,57998,39527
10437,The University of Tennessee-Chattanooga,Public,Communication and Media Studies.,Bachelor's Degree,48027,47645,49188
10438,The University of Tennessee-Chattanooga,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,43652,45697,42911
10439,The University of Tennessee-Chattanooga,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,53295,60158,52218
10440,The University of Tennessee-Chattanooga,Public,"English Language and Literature, General.",Bachelor's Degree,44017,45625,43109
10441,The University of Tennessee-Chattanooga,Public,"Biology, General.",Bachelor's Degree,52212,53029,50967
10442,The University of Tennessee-Chattanooga,Public,Health and Physical Education/Fitness.,Bachelor's Degree,51418,53603,47868
10443,The University of Tennessee-Chattanooga,Public,Criminal Justice and Corrections.,Bachelor's Degree,47664,54248,42172
10444,The University of Tennessee-Chattanooga,Public,Political Science and Government.,Bachelor's Degree,47072,47138,43629
10445,The University of Tennessee-Chattanooga,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,72248,95664,69248
10446,The University of Tennessee-Chattanooga,Public,"Business Administration, Management and Operations.",Bachelor's Degree,59487,60616,58810
10447,The University of Tennessee-Chattanooga,Public,"Business Administration, Management and Operations.",Master's Degree,112417,124951,90586
10448,The University of Tennessee-Knoxville,Public,Food Science and Technology.,Bachelor's Degree,79504,68732,81456
10449,The University of Tennessee-Knoxville,Public,Veterinary Medicine.,First Professional Degree,111314,118839,110235
10450,The University of Tennessee-Knoxville,Public,Architecture.,Bachelor's Degree,64865,66748,64121
10451,The University of Tennessee-Knoxville,Public,Communication and Media Studies.,Bachelor's Degree,57807,63138,56003
10452,The University of Tennessee-Knoxville,Public,Journalism.,Bachelor's Degree,51252,50433,52198
10453,The University of Tennessee-Knoxville,Public,"Public Relations, Advertising, and Applied Communication.",Bachelor's Degree,62859,63898,62042
10454,The University of Tennessee-Knoxville,Public,Law.,First Professional Degree,96435,94535,97611
10455,The University of Tennessee-Knoxville,Public,"English Language and Literature, General.",Bachelor's Degree,44483,42945,45095
10456,The University of Tennessee-Knoxville,Public,Library Science and Administration.,Master's Degree,57638,63630,55457
10457,The University of Tennessee-Knoxville,Public,"Biology, General.",Bachelor's Degree,58414,58699,59235
10458,The University of Tennessee-Knoxville,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,48158,46952,47527
10459,The University of Tennessee-Knoxville,Public,Health and Physical Education/Fitness.,Bachelor's Degree,61292,59558,62502
10460,The University of Tennessee-Knoxville,Public,Health and Physical Education/Fitness.,Master's Degree,61150,63504,60522
10461,The University of Tennessee-Knoxville,Public,"Psychology, General.",Bachelor's Degree,45972,41893,46015
10462,The University of Tennessee-Knoxville,Public,Social Work.,Master's Degree,53501,56371,53054
10463,The University of Tennessee-Knoxville,Public,Political Science and Government.,Bachelor's Degree,55196,55124,54964
10464,The University of Tennessee-Knoxville,Public,Sociology.,Bachelor's Degree,49839,61887,43662
10465,The University of Tennessee-Knoxville,Public,Fine and Studio Arts.,Bachelor's Degree,38246,35259,41693
10466,The University of Tennessee-Knoxville,Public,Music.,Bachelor's Degree,38564,36308,43617
10467,The University of Tennessee-Knoxville,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,139134,149564,136046
10468,The University of Tennessee-Knoxville,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,74229,93685,73871
10469,The University of Tennessee-Knoxville,Public,"Business Administration, Management and Operations.",Bachelor's Degree,79000,78244,80136
10470,The University of Tennessee-Knoxville,Public,"Business Administration, Management and Operations.",Master's Degree,149644,147651,154578
10471,The University of Tennessee-Knoxville,Public,Accounting and Related Services.,Bachelor's Degree,85054,84718,85927
10472,The University of Tennessee-Knoxville,Public,Finance and Financial Management Services.,Bachelor's Degree,78862,71941,87375
10473,The University of Tennessee-Knoxville,Public,Management Sciences and Quantitative Methods.,Bachelor's Degree,88397,89291,90551
