,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
4630,University of Louisiana at Lafayette,Public,"Business Administration, Management and Operations.",Master's Degree,72380,73188,62690
4631,University of Louisiana at Lafayette,Public,Accounting and Related Services.,Bachelor's Degree,57942,61914,55276
4632,University of Louisiana at Lafayette,Public,Finance and Financial Management Services.,Bachelor's Degree,50908,60153,46325
4633,University of Louisiana at Lafayette,Public,Marketing.,Bachelor's Degree,50941,61686,46337
4634,Tulane University of Louisiana,"Private, nonprofit",Architecture.,Bachelor's Degree,71413,67987,74090
4635,Tulane University of Louisiana,"Private, nonprofit",Architecture.,Master's Degree,70233,70807,68507
4636,Tulane University of Louisiana,"Private, nonprofit",Law.,First Professional Degree,107934,109833,107645
4637,Tulane University of Louisiana,"Private, nonprofit","Legal Professions and Studies, Other.",Graduate/Professional Certificate,120235,115418,130560
4638,Tulane University of Louisiana,"Private, nonprofit","English Language and Literature, General.",Bachelor's Degree,58614,43158,60473
4639,Tulane University of Louisiana,"Private, nonprofit",Social Work.,Master's Degree,58865,56214,59807
4640,Tulane University of Louisiana,"Private, nonprofit",Economics.,Bachelor's Degree,89211,90980,88062
4641,Tulane University of Louisiana,"Private, nonprofit",Political Science and Government.,Bachelor's Degree,68622,60712,73769
4642,Tulane University of Louisiana,"Private, nonprofit",Medicine.,Doctoral Degree,159301,164847,127281
4643,Tulane University of Louisiana,"Private, nonprofit",Medicine.,First Professional Degree,142881,160567,124415
4644,Tulane University of Louisiana,"Private, nonprofit",Public Health.,Master's Degree,83940,104967,82060
4645,Tulane University of Louisiana,"Private, nonprofit","Business/Commerce, General.",Master's Degree,136564,118769,137414
4646,Tulane University of Louisiana,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,105134,107683,97708
4647,Tulane University of Louisiana,"Private, nonprofit",Accounting and Related Services.,Master's Degree,108515,119631,98726
4648,Tulane University of Louisiana,"Private, nonprofit",Finance and Financial Management Services.,Bachelor's Degree,109495,106898,120339
4649,Tulane University of Louisiana,"Private, nonprofit",Marketing.,Bachelor's Degree,89664,92619,82210
4650,Xavier University of Louisiana,"Private, nonprofit","Biology, General.",Bachelor's Degree,49542,44872,52964
